env,device,model,batch_size,iter_idx,iter_time_ms,imgs_per_sec,timestamp,environment,env_code,source_file
envA,cuda,resnet50,32,13,97.22,329.15,1763159537.838529,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,14,93.57,341.99,1763159537.9326425,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,15,98.67,324.32,1763159538.0315511,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,16,95.76,334.15,1763159538.1276083,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,17,103.13,310.29,1763159538.2310688,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,18,108.04,296.18,1763159538.3392758,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,19,107.26,298.33,1763159538.4469728,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,20,101.22,316.14,1763159538.5483477,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,21,42.97,744.68,1763159538.652399,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,22,104.34,306.68,1763159538.7568924,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,23,99.78,320.71,1763159538.8569143,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,24,92.38,346.4,1763159538.949715,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,25,97.02,329.83,1763159539.0468855,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,26,97.47,328.32,1763159539.1445637,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,27,102.56,312.02,1763159539.247361,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,28,103.57,308.96,1763159539.3512192,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,29,104.63,305.83,1763159539.4560883,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,30,106.86,299.46,1763159539.5631375,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,31,43.11,742.27,1763159539.6679585,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,32,100.26,319.17,1763159539.7684147,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,33,96.97,329.98,1763159539.86559,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,34,96.02,333.26,1763159539.961798,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,35,96.77,330.67,1763159540.05885,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,36,97.0,329.9,1763159540.1559885,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,37,105.02,304.72,1763159540.2612193,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,38,105.95,302.03,1763159540.36751,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,39,103.02,310.61,1763159540.470801,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,40,108.29,295.5,1763159540.5793717,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,41,43.0,744.23,1763159540.6843593,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,42,101.21,316.16,1763159540.7857578,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,43,96.67,331.03,1763159540.8826056,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,44,96.19,332.68,1763159540.979025,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,45,96.7,330.91,1763159541.0758965,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,46,97.32,328.83,1763159541.1734166,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,47,104.31,306.78,1763159541.278034,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,48,104.24,307.0,1763159541.382429,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,49,105.65,302.89,1763159541.488527,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,50,106.57,300.29,1763159541.595306,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,51,43.63,733.39,1763159541.7013056,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,52,102.66,311.71,1763159541.8041885,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,53,99.25,322.42,1763159541.9036355,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,54,94.16,339.85,1763159541.99798,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,55,96.64,331.11,1763159542.0948224,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,56,98.98,323.29,1763159542.194052,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,57,104.93,304.96,1763159542.2993672,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,58,104.47,306.3,1763159542.4043806,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,59,104.82,305.3,1763159542.5093918,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,60,105.91,302.13,1763159542.615456,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,61,42.52,752.61,1763159542.7213306,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,62,103.24,309.97,1763159542.8247633,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,63,95.46,335.22,1763159542.9204595,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,64,97.05,329.72,1763159543.017799,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,65,96.6,331.28,1763159543.1145349,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,66,97.01,329.86,1763159543.2117438,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,67,104.48,306.27,1763159543.3164947,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,68,104.4,306.51,1763159543.4210372,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,69,105.86,302.3,1763159543.5271645,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,70,105.57,303.12,1763159543.6329513,RTX 4080,A,resnet50_b32.csv
envA,cuda,resnet50,32,71,41.89,763.89,1763159543.7361417,RTX 4080,A,resnet50_b32.csv
